Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_024	T024	20	1	1	1.18263	0.383692	0.5778	(((((14_0_0:0.02480781,6_0_0:0.02993232):0.01022741,((8_0_0:0.00627344,18_0_0:0.00514918):0.09164806,19_0_0:0.08557338):0.00694296):0.00691402,((1_0_0:0.00270721,(2_0_0:0.00332346,3_0_0:0.00237360):0.00191040):0.03983434,15_0_0:0.02310147):0.02472591):0.02484787,((11_0_0:0.00812992,17_0_0:0.00918535):0.01885099,16_0_0:0.10525371):0.12671834):0.15171964,((20_0_0:0.03288778,((10_0_0:0.00154615,(12_0_0:0.00183367,4_0_0:0.00157314):0.00166706):0.00301510,5_0_0:0.00554928):0.03780305):0.08319619,(7_0_0:0.00926257,(9_0_0:0.00006585,13_0_0:0.00003413):0.01047034):0.12493738):0.05863427);

dataset_025	T025	20	1	1	1.29602	0.311225	0.60925	(((((2_0_0:0.00306837,3_0_0:0.00225110):0.00194451,1_0_0:0.00195697):0.05120801,20_0_0:0.05260895):0.05505171,(((14_0_0:0.05209631,6_0_0:0.05404873):0.04283659,15_0_0:0.09257008):0.02352553,(((18_0_0:0.00876910,8_0_0:0.00499718):0.06766115,((17_0_0:0.00757774,11_0_0:0.00989596):0.03440940,((7_0_0:0.00856008,(9_0_0:0.00006727,13_0_0:0.00004525):0.00911197):0.01863029,16_0_0:0.03795506):0.03650532):0.00796915):0.01734926,19_0_0:0.07180225):0.03785738):0.04358301):0.13000571,(((4_0_0:0.00113383,12_0_0:0.00171211):0.00200706,10_0_0:0.00209347):0.00513412,5_0_0:0.01503081):0.28299409);

dataset_026	T026	20	1	1	2.14356	0.861296	1.17641	(((16_0_0:0.08357040,(15_0_0:0.13949642,(14_0_0:0.06052192,6_0_0:0.01218523):0.00051190):0.00913903):0.70084672,((((7_0_0:0.01194340,(9_0_0:0.00008524,13_0_0:0.00014199):0.00727731):0.05879730,(19_0_0:0.14340448,(18_0_0:0.00780717,8_0_0:0.03913005):0.03859009):0.03954957):0.02406291,((11_0_0:0.02001059,17_0_0:0.00217690):0.06493189,(5_0_0:0.02821898,(10_0_0:0.00385254,(4_0_0:0.00100126,12_0_0:0.00051863):0.00461382):0.00226613):0.25609532):0.00410185):0.01311661,((3_0_0:0.00032925,2_0_0:0.00057426):0.00122715,1_0_0:0.00147516):0.16135957):0.02539199):0.01181432,20_0_0:0.16342111);

dataset_027	T027	20	1	1	1.85886	0.573763	0.885814	((20_0_0:0.32875026,((((14_0_0:0.02291528,6_0_0:0.03309433):0.01264371,15_0_0:0.05384772):0.04700218,(16_0_0:0.07874493,(18_0_0:0.00470532,8_0_0:0.00591624):0.03340885):0.06188028):0.06872348,(((((12_0_0:0.00133292,4_0_0:0.00117169):0.00316772,10_0_0:0.00026408):0.00505151,5_0_0:0.01891443):0.03547408,(17_0_0:0.00793660,11_0_0:0.00409946):0.03985242):0.15524957,((7_0_0:0.00492448,(9_0_0:0.00004020,13_0_0:0.00002461):0.01156061):0.16978045,19_0_0:0.07995782):0.24618162):0.05064529):0.07885557):0.01669902,((2_0_0:0.00172911,3_0_0:0.00242425):0.00086318,1_0_0:0.00101294):0.17001540);

dataset_028	T028	20	1	1	1.66254	0.418852	0.66597	(((20_0_0:0.17885526,((15_0_0:0.04178533,(6_0_0:0.07790570,14_0_0:0.03441069):0.02066142):0.03275730,16_0_0:0.18057348):0.11121302):0.02712777,((((8_0_0:0.00331928,18_0_0:0.00584543):0.05425773,19_0_0:0.03814325):0.02085528,((13_0_0:0.00002701,9_0_0:0.00003270):0.00838303,7_0_0:0.00294923):0.05784655):0.20197638,((5_0_0:0.01046878,(10_0_0:0.00295395,(4_0_0:0.00104752,12_0_0:0.00071934):0.00193940):0.00148392):0.04037966,(17_0_0:0.00890181,11_0_0:0.01033732):0.04252445):0.06211613):0.03097742):0.09993802,(1_0_0:0.00090408,(2_0_0:0.00189745,3_0_0:0.00179958):0.00175698):0.24346364);

dataset_029	T029	20	1	1	1.99815	0.442627	0.87913	(((16_0_0:0.26351075,(15_0_0:0.12148644,14_0_0:0.09183595):0.05756958):0.14681691,(20_0_0:0.10168886,(17_0_0:0.01452259,11_0_0:0.01660493):0.17000722):0.06828637):0.02617538,((19_0_0:0.09320818,((8_0_0:0.00857891,18_0_0:0.01017031):0.08379414,((5_0_0:0.03677289,(10_0_0:0.00344572,(12_0_0:0.00214516,4_0_0:0.00181981):0.00342026):0.00465685):0.06209056,(6_0_0:0.05179478,(1_0_0:0.00240860,(3_0_0:0.00288763,2_0_0:0.00378220):0.00153623):0.04604899):0.00317290):0.00960405):0.01576650):0.02455789,((13_0_0:0.00005339,9_0_0:0.00010472):0.01455838,7_0_0:0.00530251):0.18854224):0.23942187);

dataset_030	T030	20	1	1	1.7209	0.569931	0.990829	((6_0_0:0.09075065,((13_0_0:0.00002622,9_0_0:0.00002693):0.07064559,(19_0_0:0.04733453,((14_0_0:0.01533399,((11_0_0:0.00806804,7_0_0:0.00100743):0.00255879,16_0_0:0.00814770):0.03326342):0.01795852,(18_0_0:0.00116303,8_0_0:0.00605052):0.10521118):0.00035410):0.00840032):0.14698757):0.30292685,((20_0_0:0.03939578,15_0_0:0.02144390):0.37151893,(((((12_0_0:0.00123327,4_0_0:0.00055845):0.00221771,10_0_0:0.00205940):0.00239444,5_0_0:0.02111273):0.09119600,17_0_0:0.06626919):0.08676432,((2_0_0:0.00068470,3_0_0:0.00249869):0.00083158,1_0_0:0.00153703):0.11796507):0.01501889):0.00998385);

dataset_031	T031	20	1	1	2.46146	0.801091	1.13298	(((5_0_0:0.03360599,(10_0_0:0.00321556,(12_0_0:0.00262783,4_0_0:0.00191119):0.00277587):0.00696224):0.06697754,(17_0_0:0.00824951,(7_0_0:0.00146194,11_0_0:0.00257744):0.00681248):0.05303452):0.23130433,(20_0_0:0.27748764,((14_0_0:0.01785386,16_0_0:0.04435159):0.14857895,((13_0_0:0.00005550,9_0_0:0.00006037):0.35421375,(((18_0_0:0.00910120,8_0_0:0.01014821):0.14857164,(19_0_0:0.01784093,15_0_0:0.03096043):0.07554728):0.02691300,(((3_0_0:0.00464367,2_0_0:0.00780657):0.00328401,1_0_0:0.00366484):0.10640294,6_0_0:0.21362521):0.02627240):0.06574450):0.00023193):0.09056128):0.35602388);

dataset_032	T032	20	1	1	2.29375	0.553856	1.07603	((1_0_0:0.00278896,(2_0_0:0.00227794,3_0_0:0.00291924):0.00229159):0.51696728,(((((14_0_0:0.06211674,6_0_0:0.03951929):0.00811154,15_0_0:0.11272659):0.00648191,16_0_0:0.23740224):0.19400016,(((17_0_0:0.00766805,11_0_0:0.00440350):0.08830614,((7_0_0:0.00900755,(13_0_0:0.00005210,9_0_0:0.00011584):0.00445148):0.04531320,(((12_0_0:0.00085873,4_0_0:0.00150041):0.00282789,10_0_0:0.00048613):0.00268371,5_0_0:0.01455335):0.00262580):0.04386448):0.24309353,((8_0_0:0.01352576,18_0_0:0.00245597):0.01608909,19_0_0:0.04989901):0.12145647):0.02896175):0.09345745,20_0_0:0.27949616):0.02899639);

dataset_033	T033	20	1	1	2.63187	0.609817	1.02773	((((16_0_0:0.29918520,(15_0_0:0.04144169,(14_0_0:0.10110610,6_0_0:0.09785737):0.03426220):0.05282625):0.20869381,20_0_0:0.33858189):0.05058029,(((11_0_0:0.02085611,17_0_0:0.00848039):0.03165379,((10_0_0:0.00307514,(4_0_0:0.00136537,12_0_0:0.00188855):0.00495292):0.01115617,5_0_0:0.02014919):0.09869685):0.14673548,(((13_0_0:0.00002670,9_0_0:0.00005968):0.00980822,7_0_0:0.00456309):0.07841832,((18_0_0:0.00934951,8_0_0:0.01333247):0.13274593,19_0_0:0.10007698):0.01502350):0.20383499):0.10433239):0.05135777,(1_0_0:0.00412706,(2_0_0:0.00445057,3_0_0:0.00342621):0.00126679):0.32212812);

dataset_034	T034	20	1	1	2.95019	0.945999	1.46104	((((((4_0_0:0.00139296,12_0_0:0.00133086):0.00550660,10_0_0:0.00233311):0.01225050,5_0_0:0.04147272):0.12316520,((11_0_0:0.03328674,17_0_0:0.01814286):0.05271645,(14_0_0:0.07796576,6_0_0:0.23594754):0.00066876):0.00335552):0.69011606,15_0_0:0.42755758):0.01591161,((((8_0_0:0.02552541,18_0_0:0.00853096):0.09359517,19_0_0:0.17024787):0.01022949,16_0_0:0.16477256):0.02150036,((1_0_0:0.00585708,(2_0_0:0.00517164,3_0_0:0.00335063):0.00106683):0.14797259,(7_0_0:0.01992542,(20_0_0:0.01688270,(13_0_0:0.00008312,9_0_0:0.00020365):0.01399423):0.00621558):0.19964213):0.00464131):0.28766322);

